,course_id,reviewer_name,rating,review_text,url
87,cennye-bumagi-pravovoe-regulirovanie,Koklev P,5,класс аналогов нет,https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie/reviews?page=1
88,cennye-bumagi-pravovoe-regulirovanie,Александр,5,Молодцы!,https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie/reviews?page=1
89,cennye-bumagi-pravovoe-regulirovanie,Дарья Г,5,Очень интересный и полезный курс. Материал преподносится просто и доступно.,https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie/reviews?page=1
90,cennye-bumagi-pravovoe-regulirovanie,Soldatov A,5,Просто Великолепный курс!,https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie/reviews?page=1
91,cennye-bumagi-pravovoe-regulirovanie,Антонина,5,"Очень понравился курс! Теперь рынок ценных бумаг стал намного понятнее. Стоит добавить, что это первый курс, который я прошла до конца на этом сайте!",https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie/reviews?page=1
92,cennye-bumagi-pravovoe-regulirovanie,Fedor Z,5,"Достойный уровень, хорошо, что вопросы не ограничены текстом лекций и",https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie/reviews?page=1
93,cennye-bumagi-pravovoe-regulirovanie,Ivan D,5,"Много полезной информации, хорошая структура подачи материала, приятно слушать и читать лекции и сдавать контрольные тесты.",https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie/reviews?page=1
94,cennye-bumagi-pravovoe-regulirovanie,Вавулин Д А,5,"Антон Сергеевич! Спасибо за разработанной Вами курс. Мне он понравился. Курс позволил мне расширить свои знания в сфере рынка ценных бумаг. Особенно понравился материал, связанный с облигациями, представителями облигаций, офертами. Также хотелось бы отметить наглядность схем, поясняющих функционирование учетно",https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie/reviews?page=1
95,cennye-bumagi-pravovoe-regulirovanie,Lev Z,5,"Отличный курс! (но, хотелось бы побольше примеров из практики) ",https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie/reviews?page=1
96,cennye-bumagi-pravovoe-regulirovanie,Solovyev S B,5,This is a rather usefull and actual course !!!,https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie/reviews?page=1
97,cennye-bumagi-pravovoe-regulirovanie,Lysenko S,5,Очень интересный курс. Спасибо огромное,https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie/reviews?page=1
98,cennye-bumagi-pravovoe-regulirovanie,Mazukov M,5,"Спасибо, очень структурно и доходчиво! ",https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie/reviews?page=1
99,data-analysis-applications,Павел С,3,"В курсе много поверхностных вещей, хотя в целом он полезныйАнализ изображений - очень много болтовни и мало практики, но там хотя бы упражнение полезное и интересноеА вот анализ текстов мне совсем не понравилсяПример и задание поверхностные и не интересные. Вместо того чтобы углубиться в характерные для анализа текстов вещи - лемматизация, стемминг, учет биграмм, стоп-слова, word2vec и т.д., дали оценку обычных классификаторов над какими то признаками, которые, кстати, в этом модуле вообще не обсуждались. А те особенности которые обсуждались - не показаны. В данных примерах почти ничего нового!За тест по ранжированию в первом модуле недели 4 тоже жирный дизлайк. Там одни и те же ответы переформулированные, при этом все в некотором смысле могут быть правильными. Проблема с этим тестом известна уже более 2х лет судя по форуму, почему бы не переделать?",https://www.coursera.org/learn/data-analysis-applications/reviews?page=1
